attorney_id,full_name,bar_number,state,status,years_experience,practice_areas,firm_size,location,law_school_tier,admission_date
ATT-000049,Patricia Anderson,PA797705,PA,Active,7,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, PA",Regional,2018-06-23
ATT-000050,Joseph Gonzalez,MI239417,MI,Active,1,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Phoenix, MI",T50,2024-06-21
ATT-000051,William Hernandez,IL763552,IL,Active,37,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Houston, IL",T50,1988-06-30
ATT-000052,William Smith,FL957401,FL,Active,13,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Los Angeles, FL",T14,2012-06-24
ATT-000053,Jennifer Davis,NY564839,NY,Active,28,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Phoenix, NY",Regional,1997-06-28
ATT-000054,Robert Lopez,MI407122,MI,Active,27,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Phoenix, MI",T50,1998-06-28
ATT-000055,John Martinez,TX186425,TX,Active,10,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Chicago, TX",Regional,2015-06-24
ATT-000056,David Thomas,FL373698,FL,Active,38,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Los Angeles, FL",T14,1987-07-01
ATT-000057,Joseph Thomas,GA584415,GA,Active,15,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Chicago, GA",Regional,2010-06-25
ATT-000058,Michael Brown,CA746839,CA,Active,11,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Houston, CA",T14,2014-06-24
ATT-000059,William Lopez,OH494306,OH,Active,34,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Chicago, OH",T14,1991-06-30
ATT-000060,David Williams,NY353764,NY,Active,3,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, NY",T14,2022-06-22
ATT-000061,Barbara Rodriguez,OH540542,OH,Active,1,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Los Angeles, OH",T50,2024-06-21
ATT-000062,Joseph Garcia,OH601299,OH,Active,27,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Houston, OH",Regional,1998-06-28
ATT-000063,Susan Gonzalez,TX362116,TX,Active,19,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Houston, TX",T50,2006-06-26
